Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,25.5890007,22.46899986,26.31500053,26.17300034,17.8239994,23.5909996,23.50499916,23.25799942,23.34199905,23.54999924,24.26199913,17.4829998,18.08399963,20.56299973,17.25300026,18.73500061,16.14299965,18.43000031,13.91300011,16.47299957,17.26600075,16.61899948,17.48900032,17.87100029,18.08699989,17.88199997,17.74399948
Angola,AGO,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,54.49399948,54.20899963,54.06399918,54.51399994,55.17200089,55.14300156,54.82400131,54.69200134,54.56600189,54.61700058,54.67900085,55.16799927,54.74200058,55.04199982,49.87900162,44.52700043,39.16400146,33.72600174,28.06999969,22.78300095,16.9260006,16.95700073,16.99799919,16.9489994,16.90500069,18.03100014,19.09000015
Albania,ALB,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,31.07500076,32.2159996,40.67699814,39.47000122,36.27799988,34.7480011,29.76600075,34.55599976,37.56800079,35.56499863,36.0340004,33.95399857,33.16999817,32.11500168,31.06900024,30.13699913,26.94300079,26.34600067,27.52000046,29.23900032,28.77199936,27.70400047,30.48600006,39.35900116,40.14400101,32.73199844,30.01600075
Andorra,AND,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,26.16191772,26.11080228,27.6621069,28.78025295,30.04338666,26.85575073,25.4961089,26.14651511,24.51422693,26.48341768,27.06063159,27.45736673,27.3469901,25.50399405,25.60415575,24.96282926,23.73064554,24.04876357,23.17165119,24.45905731,25.91718894,27.35813808,26.86528754,26.54244815,27.11062598,26.11158409,26.13766594
United Arab Emirates,ARE,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,4.847000122,4.833000183,4.881000042,4.765999794,4.774000168,5.048999786,5.255000114,5.639999866,5.84499979,5.971000195,6.532000065,6.889999866,7.139999866,7.538000107,8.100000381,8.486000061,9.001999855,12.30900002,11.51299953,10.51099968,9.333000183,8.427000046,7.525000095,6.736000061,5.873000145,4.900000095,4.928999901
Argentina,ARG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,12.62699986,14.79899979,23.68400002,27.5890007,44.29199982,40.23099899,34.73600006,29.56800079,32.90299988,35.2159996,40.87900162,46.55500031,36.60800171,29.31999969,26.03000069,23.65999985,20.70599937,18.84000015,21.17000008,19.36000061,18.72999954,18.28000069,19.43000031,18.84000015,20.07299995,23.52799988,23.49099922
Armenia,ARM,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,4.390999794,3.862999916,11.41300011,14.24300003,14.47500038,20.05400085,23.22500038,20.14500046,23.90399933,24.49200058,25.47200012,27.70800018,29.38599968,31.63999939,32.19300079,33.73199844,34.61399841,35.79499817,40.71300125,38.9640007,39.05699921,35.28900146,35.7519989,37.05400085,31.96899986,38.5909996,38.5870018
American Samoa,ASM,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
